# Observert dognnedbor, lygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41480 (Aseral - Kyrkjebygda, 19.4 km), reserve SN42520 (Risnes i Fjotland, 25.1 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2021-07-05;9.1;SN41480
2021-07-06;26.9;SN41480
2021-07-07;22.3;SN41480
2021-07-08;32.7;SN41480
2021-07-09;6.5;SN41480
2021-07-10;0.0;SN41480
2021-07-11;28.2;SN41480
2021-07-12;0.0;SN41480
2021-07-13;0.0;SN41480
2021-07-14;0.0;SN41480
2021-07-15;0.0;SN41480
2021-07-16;0.0;SN41480
2021-07-17;0.0;SN41480
2021-07-18;0.0;SN41480
2021-07-19;0.0;SN41480
2021-07-20;0.0;SN41480
2021-07-21;0.0;SN41480
2021-07-22;0.0;SN41480
2021-07-23;0.0;SN41480
2021-07-24;0.0;SN41480
2021-07-25;0.0;SN41480
2021-07-26;0.0;SN41480
2021-07-27;16.7;SN41480
2021-07-28;15.8;SN41480
2021-07-29;27.3;SN41480
2021-07-30;2.6;SN41480
2021-07-31;0.0;SN41480
2021-08-01;0.1;SN41480
2021-08-02;15.7;SN41480
2021-08-03;0.0;SN41480
2021-08-04;0.0;SN41480
2021-08-05;0.0;SN41480
2021-08-06;1.6;SN41480
2021-08-07;1.4;SN41480
2021-08-08;15.1;SN41480
2021-08-09;5.9;SN41480
2021-08-10;18.0;SN41480
2021-08-11;0.0;SN41480
2021-08-12;0.0;SN41480
2021-08-13;2.0;SN41480
2021-08-14;9.5;SN41480
2021-08-15;6.2;SN41480
2021-08-16;0.3;SN41480
2021-08-17;0.0;SN41480
2021-08-18;0.0;SN41480
2021-08-19;0.0;SN41480
2021-08-20;0.0;SN41480
2021-08-21;0.0;SN41480
2021-08-22;0.0;SN41480
2021-08-23;0.0;SN41480
2021-08-24;0.0;SN41480
2021-08-25;0.0;SN41480
2021-08-26;0.0;SN41480
2021-08-27;0.0;SN41480
2021-08-28;0.0;SN41480
2021-08-29;0.0;SN41480
2021-08-30;0.0;SN41480
2021-08-31;0.0;SN41480
2022-06-01;0.9;SN41480
2022-06-02;6.0;SN41480
2022-06-03;0.0;SN41480
2022-06-04;0.0;SN41480
2022-06-05;0.0;SN41480
2022-06-06;0.0;SN41480
2022-06-07;0.3;SN41480
2022-06-08;6.5;SN41480
2022-06-09;0.0;SN41480
2022-06-10;0.8;SN41480
2022-06-11;2.2;SN41480
2022-06-12;10.8;SN41480
2022-06-13;2.3;SN41480
2022-06-14;0.0;SN41480
2022-06-15;0.0;SN41480
2022-06-16;0.0;SN41480
2022-06-17;0.0;SN41480
2022-06-18;12.4;SN41480
2022-06-19;2.0;SN41480
2022-06-20;4.6;SN41480
2022-06-21;0.0;SN41480
2022-06-22;2.6;SN41480
2022-06-23;0.0;SN41480
2022-06-24;0.0;SN41480
2022-06-25;9.4;SN41480
2022-06-26;0.0;SN41480
2022-06-27;11.3;SN41480
2022-06-28;7.0;SN41480
2022-06-29;0.0;SN41480
2022-06-30;0.0;SN41480
2022-07-01;0.0;SN41480
2022-07-02;7.1;SN41480
2022-07-03;3.1;SN41480
2022-07-04;0.6;SN41480
2022-07-05;3.8;SN41480
2022-07-06;1.0;SN41480
2022-07-07;1.1;SN41480
2022-07-08;0.0;SN41480
2022-07-09;0.0;SN41480
2022-07-10;0.1;SN41480
2022-07-11;0.0;SN41480
2022-07-12;0.0;SN41480
2022-07-13;0.0;SN41480
2022-07-14;0.2;SN41480
2022-07-15;0.0;SN41480
2022-07-16;0.5;SN41480
2022-07-17;0.0;SN41480
2022-07-18;0.0;SN41480
2022-07-19;0.0;SN41480
2022-07-20;0.0;SN41480
2022-07-21;0.1;SN41480
2022-07-22;0.0;SN41480
2022-07-23;0.0;SN41480
2022-07-24;0.3;SN41480
2022-07-25;24.3;SN41480
2022-07-26;13.0;SN41480
2022-07-27;0.0;SN41480
2022-07-28;0.0;SN41480
2022-07-29;0.0;SN41480
2022-07-30;0.0;SN41480
2022-07-31;0.1;SN41480
2022-08-01;29.6;SN41480
2022-08-02;0.0;SN41480
2022-08-03;19.6;SN41480
2022-08-04;3.9;SN41480
2022-08-05;0.0;SN41480
2022-08-06;0.0;SN41480
2022-08-07;0.2;SN41480
2022-08-08;0.7;SN41480
2022-08-09;0.0;SN41480
2022-08-10;0.0;SN41480
2022-08-11;0.0;SN41480
2022-08-12;0.0;SN41480
2022-08-13;0.0;SN41480
2022-08-14;0.0;SN41480
2022-08-15;3.3;SN41480
2022-08-16;19.7;SN41480
2022-08-17;20.1;SN41480
2022-08-18;0.0;SN41480
2022-08-19;0.0;SN41480
2022-08-20;1.2;SN41480
2022-08-21;14.3;SN41480
2022-08-22;3.6;SN41480
2022-08-23;0.0;SN41480
2022-08-24;4.9;SN41480
2022-08-25;0.0;SN41480
2022-08-26;0.8;SN41480
2022-08-27;2.1;SN41480
2022-08-28;0.0;SN41480
2022-08-29;7.4;SN41480
2022-08-30;0.0;SN41480
2022-08-31;0.2;SN41480
2023-06-01;0.0;SN41480
2023-06-02;0.0;SN41480
2023-06-03;0.0;SN41480
2023-06-04;0.0;SN41480
2023-06-05;0.0;SN41480
2023-06-06;0.0;SN41480
2023-06-07;0.1;SN41480
2023-06-08;0.0;SN41480
2023-06-09;0.0;SN41480
2023-06-10;0.0;SN41480
2023-06-11;0.0;SN41480
2023-06-12;0.0;SN41480
2023-06-13;0.1;SN41480
2023-06-14;0.1;SN41480
2023-06-15;0.0;SN41480
2023-06-16;6.9;SN41480
2023-06-17;0.1;SN41480
2023-06-18;0.7;SN41480
2023-06-19;0.0;SN41480
2023-06-20;6.4;SN41480
2023-06-21;0.1;SN41480
2023-06-22;1.4;SN41480
2023-06-23;0.1;SN41480
2023-06-24;0.0;SN41480
2023-06-25;0.1;SN41480
2023-06-26;0.0;SN41480
2023-06-27;23.2;SN41480
2023-06-28;0.0;SN41480
2023-06-29;0.0;SN41480
2023-06-30;15.6;SN41480
2023-07-01;0.0;SN41480
2023-07-02;12.4;SN41480
2023-07-03;2.5;SN41480
2023-07-04;4.0;SN41480
2023-07-05;0.0;SN41480
2023-07-06;1.7;SN41480
2023-07-07;0.0;SN41480
2023-07-08;0.0;SN42520
2023-07-09;0.0;SN42520
2023-07-10;7.1;SN42520
2023-07-11;17.1;SN42520
2023-07-12;20.8;SN42520
2023-07-13;5.6;SN42520
2023-07-14;4.7;SN42520
2023-07-15;2.8;SN42520
2023-07-16;19.6;SN42520
2023-07-17;54.0;SN42520
2023-07-18;12.8;SN42520
2023-07-19;0.1;SN42520
2023-07-20;1.4;SN42520
2023-07-21;0.1;SN42520
2023-07-22;0.0;SN42520
2023-07-23;0.0;SN42520
2023-07-24;0.0;SN42520
2023-07-25;5.5;SN42520
2023-07-26;11.5;SN42520
2023-07-27;0.4;SN42520
2023-07-28;13.5;SN42520
2023-07-29;0.0;SN42520
2023-07-30;11.2;SN42520
2023-07-31;13.6;SN42520
2023-08-01;0.1;SN42520
2023-08-02;0.0;SN42520
2023-08-03;0.9;SN42520
2023-08-04;0.0;SN42520
2023-08-05;0.0;SN42520
2023-08-06;0.0;SN42520
2023-08-07;0.0;SN42520
2023-08-08;17.0;SN42520
2023-08-09;1.5;SN42520
2023-08-10;0.1;SN42520
2023-08-11;0.0;SN42520
2023-08-12;0.1;SN42520
2023-08-13;0.0;SN42520
2023-08-14;6.8;SN42520
2023-08-15;25.0;SN42520
2023-08-16;32.1;SN42520
2023-08-17;0.0;SN42520
2023-08-18;0.0;SN42520
2023-08-19;0.0;SN42520
2023-08-20;16.5;SN42520
2023-08-21;1.3;SN42520
2023-08-22;0.1;SN42520
2023-08-23;4.0;SN42520
2023-08-24;0.0;SN41480
2023-08-25;24.5;SN41480
2023-08-26;13.3;SN41480
2023-08-27;0.8;SN41480
2023-08-28;0.0;SN41480
2023-08-29;0.0;SN41480
2023-08-30;3.0;SN41480
2023-08-31;12.4;SN41480
2024-06-01;1.9;SN41480
2024-06-02;0.1;SN41480
2024-06-03;0.0;SN41480
2024-06-04;0.0;SN41480
2024-06-05;22.7;SN41480
2024-06-06;2.3;SN41480
2024-06-07;2.3;SN41480
2024-06-08;6.9;SN41480
2024-06-09;10.4;SN41480
2024-06-10;1.0;SN41480
2024-06-11;0.0;SN41480
2024-06-12;23.0;SN41480
2024-06-13;3.3;SN41480
2024-06-14;0.1;SN41480
2024-06-15;23.8;SN41480
2024-06-16;22.4;SN41480
2024-06-17;21.5;SN41480
2024-06-18;26.6;SN41480
2024-06-19;2.4;SN41480
2024-06-20;0.0;SN41480
2024-06-21;0.0;SN41480
2024-06-22;3.1;SN41480
2024-06-23;3.5;SN41480
2024-06-24;0.0;SN41480
2024-06-25;0.0;SN41480
2024-06-26;0.0;SN41480
2024-06-27;0.0;SN41480
2024-06-28;1.7;SN41480
2024-06-29;5.9;SN41480
2024-06-30;3.1;SN41480
2024-07-01;0.0;SN41480
2024-07-02;0.2;SN41480
2024-07-03;0.0;SN41480
2024-07-04;4.4;SN41480
2024-07-05;16.2;SN41480
2024-07-06;10.4;SN41480
2024-07-07;24.8;SN41480
2024-07-08;0.5;SN41480
2024-07-09;0.2;SN41480
2024-07-10;20.4;SN41480
2024-07-11;16.5;SN41480
2024-07-12;1.4;SN41480
2024-07-13;0.0;SN41480
2024-07-14;18.5;SN41480
2024-07-15;1.4;SN41480
2024-07-16;2.3;SN41480
2024-07-17;8.3;SN41480
2024-07-18;0.0;SN41480
2024-07-19;0.0;SN41480
2024-07-20;0.0;SN41480
2024-07-21;0.0;SN41480
2024-07-22;7.8;SN41480
2024-07-23;0.0;SN41480
2024-07-24;3.1;SN41480
2024-07-25;0.0;SN41480
2024-07-26;11.3;SN41480
2024-07-27;12.7;SN41480
2024-07-28;0.0;SN41480
2024-07-29;0.0;SN41480
2024-07-30;0.0;SN41480
2024-07-31;0.0;SN41480
2024-08-01;0.0;SN41480
2024-08-02;0.0;SN41480
2024-08-03;0.0;SN41480
2024-08-04;10.2;SN41480
