# Observert dognnedbor, sygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN39150 (Kristiansand - Somskleiva, 12.7 km), reserve SN39040 (Kjevik, 15.0 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2023-06-17;0.0;SN39150
2023-06-18;0.0;SN39150
2023-06-19;0.0;SN39150
2023-06-20;5.4;SN39150
2023-06-21;0.0;SN39150
2023-06-22;5.1;SN39150
2023-06-23;0.0;SN39150
2023-06-24;0.0;SN39150
2023-06-25;0.0;SN39150
2023-06-26;0.0;SN39150
2023-06-27;43.0;SN39150
2023-06-28;5.9;SN39150
2023-06-29;0.0;SN39150
2023-06-30;10.4;SN39150
2023-07-01;0.1;SN39150
2023-07-02;10.2;SN39150
2023-07-03;4.1;SN39150
2023-07-04;6.0;SN39150
2023-07-05;1.0;SN39150
2023-07-06;20.5;SN39150
2023-07-07;0.2;SN39150
2023-07-08;0.0;SN39150
2023-07-09;0.0;SN39150
2023-07-10;14.7;SN39150
2023-07-11;24.3;SN39150
2023-07-12;8.9;SN39150
2023-07-13;0.4;SN39150
2023-07-14;0.0;SN39150
2023-07-15;2.9;SN39150
2023-07-16;12.2;SN39150
2023-07-17;8.0;SN39150
2023-07-18;0.0;SN39150
2023-07-19;0.0;SN39150
2023-07-20;0.0;SN39150
2023-07-21;0.0;SN39150
2023-07-22;0.0;SN39150
2023-07-23;0.0;SN39150
2023-07-24;0.9;SN39150
2023-07-25;0.0;SN39150
2023-07-26;3.3;SN39150
2023-07-27;7.8;SN39150
2023-07-28;0.0;SN39150
2023-07-29;0.0;SN39150
2023-07-30;2.6;SN39150
2023-07-31;1.2;SN39150
2023-08-01;0.0;SN39150
2023-08-02;0.0;SN39150
2023-08-03;0.0;SN39150
2023-08-04;1.0;SN39150
2023-08-05;0.6;SN39150
2023-08-06;0.0;SN39150
2023-08-07;0.1;SN39150
2023-08-08;14.8;SN39150
2023-08-09;0.8;SN39150
2023-08-10;0.0;SN39150
2023-08-11;0.0;SN39150
2023-08-12;0.2;SN39150
2023-08-13;19.5;SN39150
2023-08-14;4.5;SN39150
2023-08-15;2.8;SN39150
2023-08-16;7.4;SN39150
2023-08-17;0.0;SN39150
2023-08-18;0.0;SN39150
2023-08-19;;
2023-08-20;33.9;SN39040
2023-08-21;0.0;SN39040
2023-08-22;0.0;SN39040
2023-08-23;0.0;SN39040
2023-08-24;0.0;SN39150
2023-08-25;13.2;SN39150
2023-08-26;10.4;SN39150
2023-08-27;4.6;SN39150
2023-08-28;0.0;SN39150
2023-08-29;0.0;SN39150
2023-08-30;8.1;SN39150
2023-08-31;3.0;SN39150
2024-06-01;1.6;SN39150
2024-06-02;0.2;SN39150
2024-06-03;0.0;SN39150
2024-06-04;0.1;SN39150
2024-06-05;15.9;SN39150
2024-06-06;1.9;SN39150
2024-06-07;2.4;SN39150
2024-06-08;4.1;SN39150
2024-06-09;2.2;SN39150
2024-06-10;1.5;SN39150
2024-06-11;0.0;SN39150
2024-06-12;0.0;SN39150
2024-06-13;0.6;SN39150
2024-06-14;1.5;SN39150
2024-06-15;13.4;SN39150
2024-06-16;22.8;SN39150
2024-06-17;21.9;SN39150
2024-06-18;8.0;SN39150
2024-06-19;0.2;SN39150
2024-06-20;0.0;SN39150
2024-06-21;0.0;SN39150
2024-06-22;5.9;SN39150
2024-06-23;5.2;SN39150
2024-06-24;0.0;SN39150
2024-06-25;0.0;SN39150
2024-06-26;0.0;SN39150
2024-06-27;0.0;SN39150
2024-06-28;0.0;SN39150
2024-06-29;1.2;SN39150
2024-06-30;0.0;SN39150
2024-07-01;0.0;SN39150
2024-07-02;0.0;SN39150
2024-07-03;0.0;SN39150
2024-07-04;17.3;SN39150
2024-07-05;10.7;SN39150
2024-07-06;12.1;SN39150
2024-07-07;13.1;SN39150
2024-07-08;0.2;SN39150
2024-07-09;0.2;SN39150
2024-07-10;15.9;SN39150
2024-07-11;4.2;SN39150
2024-07-12;0.7;SN39150
2024-07-13;0.0;SN39150
2024-07-14;7.2;SN39150
2024-07-15;23.4;SN39150
2024-07-16;0.3;SN39150
2024-07-17;11.3;SN39150
2024-07-18;0.2;SN39150
2024-07-19;0.0;SN39150
2024-07-20;0.0;SN39150
2024-07-21;0.0;SN39150
2024-07-22;21.3;SN39150
2024-07-23;0.0;SN39150
2024-07-24;0.0;SN39150
2024-07-25;2.9;SN39150
2024-07-26;11.9;SN39150
2024-07-27;0.6;SN39150
2024-07-28;0.0;SN39150
2024-07-29;0.0;SN39150
2024-07-30;0.0;SN39150
2024-07-31;0.0;SN39150
2024-08-01;0.0;SN39150
2024-08-02;0.0;SN39150
2024-08-03;0.0;SN39150
2024-08-04;2.6;SN39150
2024-08-05;0.0;SN39150
2024-08-06;0.0;SN39150
2024-08-07;1.8;SN39150
2024-08-08;3.0;SN39150
2024-08-09;18.8;SN39150
2024-08-10;5.5;SN39150
2024-08-11;0.1;SN39150
2024-08-12;0.0;SN39150
2024-08-13;0.0;SN39150
2024-08-14;31.9;SN39150
2024-08-15;3.1;SN39150
2024-08-16;14.9;SN39150
2024-08-17;0.0;SN39150
2024-08-18;0.0;SN39150
2024-08-19;1.3;SN39150
2024-08-20;0.0;SN39150
