# Observert dognnedbor, audna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41175 (Laudal - Kleiven, 2.4 km), reserve SN41860 (Kvineshei - Sorhelle, 24.6 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2023-06-26;0.0;SN41175
2023-06-27;22.7;SN41175
2023-06-28;0.0;SN41175
2023-06-29;0.1;SN41175
2023-06-30;11.3;SN41175
2023-07-01;0.1;SN41175
2023-07-02;16.2;SN41175
2023-07-03;2.3;SN41175
2023-07-04;12.2;SN41175
2023-07-05;1.5;SN41175
2023-07-06;9.3;SN41175
2023-07-07;0.1;SN41175
2023-07-08;0.0;SN41175
2023-07-09;0.0;SN41175
2023-07-10;7.0;SN41175
2023-07-11;27.5;SN41175
2023-07-12;17.5;SN41175
2023-07-13;5.1;SN41175
2023-07-14;2.5;SN41175
2023-07-15;1.7;SN41175
2023-07-16;15.6;SN41175
2023-07-17;21.7;SN41175
2023-07-18;3.7;SN41175
2023-07-19;0.0;SN41175
2023-07-20;0.2;SN41175
2023-07-21;0.0;SN41175
2023-07-22;0.0;SN41175
2023-07-23;0.0;SN41175
2023-07-24;7.6;SN41175
2023-07-25;3.8;SN41175
2023-07-26;4.7;SN41175
2023-07-27;5.5;SN41175
2023-07-28;21.5;SN41175
2023-07-29;0.0;SN41175
2023-07-30;5.6;SN41175
2023-07-31;10.0;SN41175
2023-08-01;0.0;SN41175
2023-08-02;0.1;SN41175
2023-08-03;0.2;SN41175
2023-08-04;13.5;SN41175
2023-08-05;0.0;SN41175
2023-08-06;0.0;SN41175
2023-08-07;0.0;SN41175
2023-08-08;17.5;SN41175
2023-08-09;2.3;SN41175
2023-08-10;0.1;SN41175
2023-08-11;0.0;SN41175
2023-08-12;0.4;SN41175
2023-08-13;11.5;SN41175
2023-08-14;9.3;SN41175
2023-08-15;16.1;SN41175
2023-08-16;18.1;SN41175
2023-08-17;0.1;SN41175
2023-08-18;0.1;SN41175
2023-08-19;0.0;SN41175
2023-08-20;33.1;SN41175
2023-08-21;0.1;SN41175
2023-08-22;0.0;SN41175
2023-08-23;0.7;SN41175
2023-08-24;1.4;SN41175
2023-08-25;18.7;SN41175
2023-08-26;5.8;SN41175
2023-08-27;0.1;SN41175
2023-08-28;0.0;SN41175
2023-08-29;0.2;SN41175
2023-08-30;2.5;SN41175
2023-08-31;14.6;SN41175
2024-06-01;3.8;SN41175
2024-06-02;0.9;SN41175
2024-06-03;1.4;SN41175
2024-06-04;0.0;SN41175
2024-06-05;27.9;SN41175
2024-06-06;8.3;SN41175
2024-06-07;5.8;SN41175
2024-06-08;11.5;SN41175
2024-06-09;10.0;SN41175
2024-06-10;2.4;SN41175
2024-06-11;0.0;SN41175
2024-06-12;5.5;SN41175
2024-06-13;0.2;SN41175
2024-06-14;0.3;SN41175
2024-06-15;27.2;SN41175
2024-06-16;37.5;SN41175
2024-06-17;17.8;SN41175
2024-06-18;9.0;SN41175
2024-06-19;0.8;SN41175
2024-06-20;0.0;SN41175
2024-06-21;0.0;SN41175
2024-06-22;1.1;SN41175
2024-06-23;3.3;SN41175
2024-06-24;0.0;SN41175
2024-06-25;0.0;SN41175
2024-06-26;0.0;SN41175
2024-06-27;0.0;SN41175
2024-06-28;0.2;SN41175
2024-06-29;7.1;SN41175
2024-06-30;3.6;SN41175
2024-07-01;0.0;SN41175
2024-07-02;0.3;SN41175
2024-07-03;0.0;SN41175
2024-07-04;5.5;SN41175
2024-07-05;18.9;SN41175
2024-07-06;17.4;SN41175
2024-07-07;10.5;SN41175
2024-07-08;0.4;SN41175
2024-07-09;0.6;SN41175
2024-07-10;19.1;SN41175
2024-07-11;10.6;SN41175
2024-07-12;2.2;SN41175
2024-07-13;0.0;SN41175
2024-07-14;6.2;SN41175
2024-07-15;16.5;SN41175
2024-07-16;8.2;SN41175
2024-07-17;9.5;SN41175
2024-07-18;0.0;SN41175
2024-07-19;0.0;SN41175
2024-07-20;0.0;SN41175
2024-07-21;0.0;SN41175
2024-07-22;6.0;SN41175
